number,name,price,review number,5 stars,4 stars,3 stars,2 stars,1 star
10316819,Sensodyne Pronamel Toothpaste 4 oz,$5.92,36,89,17,7,4,6
196813554,Crest Pro-Health Advanced Sensitive & Enamel Shield Toothpaste 5.1oz,$3.92,262,54,36,15,1,9
45098523,"Colgate Kids Toothpaste with Anticavity Fluoride, Minions™, 4.6 ounces",$2.96 - $5.92,206,22,7,4,1,0
895353,Aquafresh Maximum Strength* Sensitive Smooth Mint Toothpaste 5.6 oz. Box,$2.77 - $14.96,262,71,7,3,3,3
49081522,Colgate Optic White High Impact White Whitening Toothpaste - 3 ounce,$4.96,41,378,195,73,35,29
36073552,"Colgate My First Baby and Toddler Toothpaste, Fluoride Free, 1.75 ounces",$2.94,262,2,1,1,0,1
151528591,"Colgate Kids Toothpaste with Anticavity Fluoride, Trolls™, 4.6 ounces",$2.96 - $5.92,206,2,1,0,0,0
246337796,"Crest Kid's Anticavity Cavity Protection Fluoride Toothpaste, Strawberry Rush, 4.2 oz",$6.32,262,982,117,22,6,12
49463634,"Crest 3D White Arctic Fresh Whitening Toothpaste, Icy Cool Mint, 3.5 oz",$2.82,262,535,161,34,6,5
415627932,"Colgate Total Toothpaste, Clean Mint, 4.8 oz. - Paste",$2.96,262,217,69,18,9,177
20657311,"Colgate Kids Toothpaste Cavity Protection, Bubble Fruit, 2.7 Ounces",$0.94,262,1,0,1,0,0
633172740,"Colgate Total Whitening Toothpaste Gel, 4.8 oz.",$2.96,262,110,36,7,2,24
283597388,"Burt's Bees Kids Toothpaste, Fluoride Free, Fruit Fusion, 4.2 oz",$2.97 - $5.94,262,101,28,5,3,2
49714963,"Colgate Triple Action Fluoride Toothpaste Original Mint, 6.0 Oz",$1.67,262,6,3,0,0,0
391004320,"Crest Kid's Toothpaste with Fluoride and Cavity Protection, Bubblegum Rush, 4.2 oz",$2.36,163,47,3,1,0,0
49463631,"Crest 3D White Whitening Toothpaste, Radiant Mint, 3.5 oz",$2.97,262,22,3,2,0,1
529826900,"Hello Activated Charcoal Fluoride Free Whitening Toothpaste, Vegan & SLS Free, 4.0oz",$4.82 - $13.55,262,1145,314,117,69,99
689397126,Colgate MaxFresh KnockOut Toothpaste Mint Fusion - 6.0 Ounce (3 Pack),$5.96,36,28,3,0,1,1
881603334,"Colgate Total Toothpaste, Fresh Mint Stripe Gel, 4.8 oz.",$2.96,262,8,9,1,2,7
231730593,"Hello Naturally Whitening Fluoride Toothpaste, Farm Grown Mint With Tea Tree Oil & Coconut Oil, Vegan & SLS Free, 4.7oz",$3.97,262,122,33,10,4,5
959192244,"Crest Gum Detoxify Deep Clean Toothpaste, 4.1 oz (Pack of 2)",$11.44,36,50,6,1,0,1
128228395,"Colgate Baking Soda and Peroxide Whitening Toothpaste, Brisk Mint - 6 Ounce",$10.02,262,7,3,0,1,0
10402656,"Ultra Brite Baking Soda and Peroxide Whitening Toothpaste, Clean Mint - 6 oz",$1.62,24,2,0,0,0,0
267980256,"Crest 3D White, Whitening Toothpaste Arctic Fresh, 4.1 oz, Pack of 3",$9.97,471,14,2,0,0,0
611870390,"Colgate Total Whitening Toothpaste, Advanced Fresh + Whitening Gel, 5.1 oz. 2-pack",$6.96,206,209,87,19,6,79
200107110,Colgate Optic White High Impact White Whitening Toothpaste - 3 ounce (2 pack),$2.00,471,42,43,10,1,4
549076728,"Crest Gum & Enamel Repair Toothpaste, Advanced Whitening, 4.1oz",$6.97,262,97,25,4,5,2
35764256,"Colgate Optic White Whitening Toothpaste, Icy Fresh - 3.5 ounce",$3.96,471,43,12,5,1,2
594023750,"Crest + Deep Clean Complete Whitening Toothpaste, Effervescent Mint, 5.4 oz, Pack of 2",$4.82,54,14,1,0,0,2
852711120,"Colgate Optic White Whitening Toothpaste, Icy Fresh - 5.0 Ounce (2 Pack)",$4.00,471,37,10,3,1,1
318769264,"Crest Gum & Enamel Repair Toothpaste, Intensive Clean, 4.1oz",$6.97,262,103,25,7,4,1
183868527,"Crest 3D White Whitening Therapy Enamel Care Fluoride Toothpaste, 4.1 oz",$5.00,471,68,22,1,3,2
724146429,"Colgate Maxiumum Cavity Protection Kids Toothpaste Pump, Batman, 4.4 ounces",$3.96,262,6,0,0,0,0
715478462,"Crest Pro-Health Advanced Deep Clean Mint Toothpaste, 5.1 oz, Pack of 2",$6.97,36,4,0,1,0,0
45103551,"Crest 3D White Brilliance + Whitening Two-step Toothpaste, 4.0 oz and 2.3 oz",$12.96,471,2267,1726,672,235,112
784892394,"Colgate Total Whitening Toothpaste, 4.8 oz. 3-pack",$7.27,36,223,81,22,10,124
55322901,"Colgate Optic White Travel Size Whitening Toothpaste, Sparkling Mint - 1.7 oz",$1.97,262,34,9,3,1,1
461865283,"Sensodyne Pronamel Mint Essence Fluoride Toothpaste to Strengthen and Protect Enamel, 4 ounces Twinpack",$10.24,36,95,32,12,4,4
913848860,"Burt's Bees Toothpaste, Fluoride Free, Purely White, Zen Peppermint, 4.7 oz",$4.97,471,111,28,4,3,3
791833595,"Colgate Total Whitening Toothpaste, Advanced Fresh + Whitening Gel, 5.1 oz.",$3.96,262,45,19,6,1,10
178605039,"Sensodyne Pronamel Strong & Bright Extra Fresh Fluoride Toothpaste to Strengthen and Protect Enamel, 3 ounce",$4.65,36,34,5,5,5,3
26968875,"Cavity Zapper Fluoride Toothpaste, Not Yucky Grape, 5 Oz Tube",$5.36,38,7,1,0,0,0
633442710,"Crest 3D White Stain Eraser, Whitening Toothpaste Icy Clean Mint, 3.5 oz, Pack of 2",$4.97,54,44,10,3,1,0
281243942,"Colgate Essentials Charcoal Teeth Whitening Toothpaste, 4.6 oz (2 Pack)",$4.96 - $13.59,36,33,10,0,2,0
15754345,"Sensodyne Pronamel Gentle Whitening Fluoride Toothpaste to Strengthen and Protect Enamel, 0.8 ounces Trial Size",$5.88 - $7.45,262,63,21,3,1,2
438390992,"Crest 3D White Brilliance Vibrant Peppermint Toothpaste, 4.1 oz, Pack of 3",$13.74,471,102,19,6,3,2
49714960,"Colgate Sparkling White Whitening Toothpaste, Cinnamint - 6.0 Ounce",$1.67,471,1,0,0,0,0
49081526,"Colgate Baking Soda and Peroxide Whitening Toothpaste, Brisk Mint - 8 Ounce (3 Pack)",$3.96 - $7.68,36,90,7,3,1,1
