,number,active_from_ingredients,inactive_from_ingredients,active_raw,inactive_raw,name,price
140,558260338,"['Calcium Carbonate', 'Aqua (Water)', 'Glycerin', 'Sodium Cocoyl Glutamate', 'Carrageenan', 'Vanilla Planifolia Fruit Oil', 'Aloe Barbadensis Leaf Gel*', 'Camellia Sinensis Leaf Extract', 'Citrus Grandis (Grapefruit) Seed Extract', 'Perilla Ocymoides Seed Extract', 'Illicium Verum (Anise) Fruit/Seed Oil', 'Mentha Piperita (Peppermint) Oil', 'Stevia Rebaudiana leaf Extract', 'Silica', 'Sodium Bicarbonate']",[],,,Jason Powersmile Toothpaste Vanilla Mint 6 oz Paste,$4.86 
141,551138556,"[' Potassium Nitrate 5%** - Antihypersensitivity', 'Sodium Fluoride 0.15% W/V Fluoride Ion - Anticavity, ']","[' Water', 'Hydrated Silica', 'Sorbitol', 'Glycerin', 'Pentasodium Triphosphate', 'Peg-8', 'Flavor', 'Titanium Dioxide', 'Sodium Methyl Cocoyl Taurate', 'Cocamidopropyl Betaine', 'Xanthan Gum', 'Sodium Hydroxide', 'Sodium Saccharin', 'Sucralose.']",,,Sensodyne Extra Whitening Sensitive Teeth Whitening Toothpaste - 0.8 Ounces,$1.47 
142,553341168,"['Active Ingredients: Stannous Fluoride 0.454% (0.15% W/V Fluoride Ion) - Anticavity', 'Antihypersensitivity']",[],NA,"Inactive IngredientsGlycerin, PEG-8, Hydrated Silica, Pentasodium Triphosphate, Flavor, Sodium Lauryl Dulfate, Titanium Dioxide, Polyacrylic Acid, Cocamidopropyl Betaine, Sodium Saccharin",Sensodyne Repair and Protect Teeth Whitening Sensitive Toothpaste - 3.4 Ounces,$5.72 
143,581518210,"[' Potassium Nitrate 5%', 'Antihypersensitivity', 'Sodium Fluoride 0.25% (0.15% W/V Fluoride Ion)', 'Anticavity, ']","[' Water', 'Sorbitol', 'Hydrated Silica', 'Glycerin', 'Peg-8', 'Sodium Lactate', 'Flavor', 'Cocamidopropyl Betaine', 'Titanium Dioxide', 'Xanthan Gum', 'Sodium Saccharin', 'Pvm/Ma Copolymer', 'Sodium Hydroxide.']",,,"Sensodyne Pronamel Intensive Enamel Repair Toothpaste for Sensitive Teeth, Extra Fresh - 3.4 Ounces",$5.72 
144,572676896,"[' Stannous Fluoride 0.454% (0.15% W/V Fluoride Ion) - Anticavity', 'Antigingivitis, ']","[' Glycerin', 'Peg-8', 'Hydrated Silica', 'Pentasodium Triphosphate', 'Flavor', 'Sodium Lauryl Sulfate', 'Titanium Dioxide', 'Polyacrylic Acid', 'Sodium Saccharin', 'Cocamidopropyl Betaine.']",,,Parodontax Teeth Whitening Toothpaste for Bleeding Gums - 3.4 Ounces (Pack of 2),$10.73 
145,593988829,"[' Potassium nitrate 5%** - Antihypersensitivity', 'Sodium fluoride 0.15% w/v fluoride ion - Anticavity, ']","[' Water', 'hydrated silica', 'sorbitol', 'glycerin', 'pentasodium triphosphate', 'PEG-8', 'flavor', 'titanium dioxide', 'sodium methyl cocoyl taurate', 'cocamidopropyl betaine', 'xanthan gum', 'sodium hydroxide', 'sodium saccharin', 'sucralose.']",,,Sensodyne Extra Whitening Sensitive Teeth Whitening Toothpaste - 4 Ounces (Pack of 3),$25.88 
146,250847534,"['Glycerin', 'Water', 'Hydrated Silica', 'Sodium Cocoyl Glutamate', 'Flavor*', 'Xanthan Gum', 'Carrageenan', 'Stevia Rebaudiana Extract', 'Titanium Dioxide', '*Peppermint Oil and Other Natural Flavor']",[],,,"Burt's Bees Toothpaste, Fluoride Free, Purely White, Zen Peppermint, 4.7 oz, Pack of 3",$11.99 
147,581873476,[' Sodium Fluoride 0.243% (0.15% w/v Fluoride Ion) '],"[' Water', 'Sorbitol', 'Hydrated Silica', 'Disodium Pyrophosphate', 'Sodium Lauryl Sulfate', 'Sodium Hydroxide', 'Flavor', 'Cellulose Gum', 'Sodium Saccharin', 'Cannabis Sativa Seed Oil**', 'Carbomer', 'Charcoal Powder', 'Sucralose', 'Polysorbate 80', 'Mica', 'Titanium Dioxide', '**Hemp Seed Oil']",Sodium Fluoride,"Water, Sorbitol, Hydrated Silica, Disodium Pyrophosphate, Sodium Lauryl Sulfate, Sodium Hydroxide, Flavor, Cellulose Gum, Sodium Saccharin, Cannabis Sativa Seed Oil**, Carbomer, Charcoal Powder, Sucralose, Polysorbate 80, Mica, Titanium Dioxide, **Hemp Seed Oil","Crest 3D White Whitening Therapy Charcoal Fluoride Toothpaste, Hemp Seed Oil Mint, 4.1 oz",$7.28 
148,578343768,[' Stannous Fluoride 0.454% (0.15% w/v Fluoride Ion) '],"[' Glycerin', 'Hydrated Silica', 'Water', 'Zinc Lactate', 'Sodium Lauryl Sulfate', 'Trisodium Phosphate', 'Flavor', 'Sodium Gluconate', 'Sodium Saccharin', 'Xanthan Gum', 'Cellulose Gum', 'Sodium Hydroxide', 'Mica', 'Titanium Dioxide', 'Blue 1 Step 2 (Protecting Gel): Water', 'Glycerin', 'Hydrogen Peroxide', 'Carbomer', 'Disodium Pyrophosphate', 'Flavor', 'Sucralose', 'Sodium Hydroxide']",Active Ingredient: Stannous Fluoride 0.454% (0.15% w/v Fluoride Ion),"Step 1 (Sensitivity Treatment) : Active Ingredient: Stannous Fluoride 0.454% (0.15% w/v Fluoride Ion) Inactive Ingredients: Glycerin, Hydrated Silica, Water, Zinc Lactate, Sodium Lauryl Sulfate, Trisodium Phosphate, Flavor, Sodium Gluconate, Sodium Saccharin, Xanthan Gum, Cellulose Gum, Sodium Hydroxide, Mica, Titanium Dioxide, Blue 1 Step 2 (Protecting Gel): Water, Glycerin, Hydrogen Peroxide, Carbomer, Disodium Pyrophosphate, Flavor, Sucralose, Sodium Hydroxide&nbsp","Crest HD Sensitive and Whitening Two-Step Toothpaste, 4.0 oz, 2.3 oz",$12.99 
149,586295478,[''],[],,,"Crest 3D White Brilliance Teeth Whitening Toothpaste, Peppermint, 3.9 oz, 2 pk",$10.97 
