,product_number,product,product_link
40,274675,"Aquafresh Kids Pump Cavity Protection Bubble Mint Fluoride Toothpaste for Cavity Protection, 4.6 Ounce",https://www.walmart.com/ip/Aquafresh-Kids-Pump-Cavity-Protection-Bubble-Mint-Fluoride-Toothpaste-for-Cavity-Protection-4-6-Ounce/10453056
41,578359056,"Colgate Optic White Advanced Teeth Whitening Toothpaste, Icy Fresh, 3.2 Oz, 3 Ct",https://www.walmart.com/ip/Colgate-Optic-White-Advanced-Teeth-Whitening-Toothpaste-Icy-Fresh-3-2-Oz-3-Ct/817418454
42,566115653,"Crest Pro Health Advanced Gum Protection Toothpaste, 5.1 oz, 2 Pack",https://www.walmart.com/ip/Crest-Pro-Health-Advanced-Gum-Protection-Toothpaste-5-1-oz-2-Pack/361263130
43,297465,"Tom's of Maine Natural Antiplaque & Whitening Fluoride-Free Peppermint Toothpaste, 5.5oz",https://www.walmart.com/ip/Tom-s-of-Maine-Natural-Antiplaque-Whitening-Fluoride-Free-Peppermint-Toothpaste-5-5oz/16627500
44,578422109,"Colgate Optic White Renewal Whitening Toothpaste, High Impact White, 3 oz, 2 Pack",https://www.walmart.com/ip/Colgate-Optic-White-Renewal-Whitening-Toothpaste-High-Impact-White-3-oz-2-Pack/319825180
45,581518027,"Sensodyne Pronamel Intensive Enamel Repair Toothpaste for Sensitive Teeth, Clean Mint - 3.4 Ounces",https://www.walmart.com/ip/Sensodyne-Pronamel-Intensive-Enamel-Repair-Toothpaste-for-Sensitive-Teeth-Clean-Mint-3-4-Ounces/314214598
46,575238461,"Crest 3D White Whitening Toothpaste, Radiant Mint, 4.1 oz, 3 Pack",https://www.walmart.com/ip/Crest-3D-White-Whitening-Toothpaste-Radiant-Mint-4-1-oz-3-Pack/313948787
47,555138528,"ARM & HAMMER Sensitive Teeth & Gums Toothpaste, Refreshing Mint- Fluoride Toothpaste",https://www.walmart.com/ip/ARM-HAMMER-Sensitive-Teeth-Gums-Toothpaste-Refreshing-Mint-Fluoride-Toothpaste/20850557?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:34ezvBYcHpXGeJty-2HBY4gxh-Jc1doa20ngtkigABhIYPgQAsp6jmUmkwzZFwGZ9YYJoTUwhNTE3zkULQJUA6LvgL4wgn-hTNmCIsGZVxfCUXEnegKB4m2_puODwidIDnEqhCvdeYW9KEKssDElJITruP70CE5wdHzzq7adz15A2FgC9zKkdyrUvdUjpTiW4t1OCtD9WKsGqRyfP49k9w&wpa_tag=&wpa_aux_info=&wpa_pos=36&wpa_plmt=1145x1145_T-C-IG_TI_1-6_HL-INGRID-GRID-NY&wpa_aduid=bab0b09c-c341-40cf-850c-990e7fe4bc69&wpa_pg=search&wpa_pg_id=toothpaste&wpa_st=toothpaste&wpa_tax=1085632_9267270_7332448_8262175&wpa_bucket=__bkt__
48,564544230,Sensodyne Repair and Protect Teeth Whitening Sensitive Toothpaste - 3.4 Ounces (Pack of 2),https://www.walmart.com/ip/Sensodyne-Repair-and-Protect-Teeth-Whitening-Sensitive-Toothpaste-3-4-Ounces-Pack-of-2/289197571
49,239501,"Crest Plus Complete Whitening Fluoride Toothpaste, Cinnamon, 6.0 oz",https://www.walmart.com/ip/Crest-Plus-Complete-Whitening-Fluoride-Toothpaste-Cinnamon-6-0-oz/11027565
