,product_number,product name,product link
59,10294069,"Listerine Essential Care Original Gel Fluoride Toothpaste, 4.2 oz",https://www.walmart.com/ip/Listerine-Essential-Care-Original-Gel-Fluoride-Toothpaste-4-2-oz/10294069
60,696892178,"Sensodyne Rapid Relief Toothpaste for Sensitive Teeth, Mint, 3.4 Ounce",https://www.walmart.com/ip/Sensodyne-Rapid-Relief-Toothpaste-for-Sensitive-Teeth-Mint-3-4-Ounce/696892178
61,124810189,"Sensodyne Sensitivity Toothpaste for Sensitive Teeth, Deep Clean, 4 ounce",https://www.walmart.com/ip/Sensodyne-Sensitivity-Toothpaste-for-Sensitive-Teeth-Deep-Clean-4-ounce/124810189
62,47826717,"Tom's of Maine Rapid Relief Sensitive Fluoride-Free Toothpaste, Fresh Mint, 4.0 oz",https://www.walmart.com/ip/Tom-s-of-Maine-Rapid-Relief-Sensitive-Fluoride-Free-Toothpaste-Fresh-Mint-4-0-oz/47826717
63,314214598,"Sensodyne Pronamel Intensive Enamel Repair Clean Mint Toothpaste for Enamel Strengthening, 3.4 ounces",https://www.walmart.com/ip/Sensodyne-Pronamel-Intensive-Enamel-Repair-Clean-Mint-Toothpaste-for-Enamel-Strengthening-3-4-ounces/314214598
64,532178213,"Sensodyne Rapid Relief Toothpaste for Sensitive Teeth, Extra Fresh, 3.4 Ounce",https://www.walmart.com/ip/Sensodyne-Rapid-Relief-Toothpaste-for-Sensitive-Teeth-Extra-Fresh-3-4-Ounce/532178213
65,569156416,"(2 pack) Crest Complete Whitening + Cinnamon Expressions Liquid Gel Toothpaste, Cinnamon Rush, 4.6 ounce",https://www.walmart.com/ip/2-pack-Crest-Complete-Whitening-Cinnamon-Expressions-Liquid-Gel-Toothpaste-Cinnamon-Rush-4-6-ounce/569156416
66,143048753,"ARM & HAMMER PeroxiCare Toothpaste, Twin Pack (two 6.0 oz. tubes)",https://www.walmart.com/ip/ARM-HAMMER-PeroxiCare-Toothpaste-Twin-Pack-two-6-0-oz-tubes/143048753
67,20850557,"Arm & Hammer Sensitive Teeth & Gums Toothpaste, 4.5 oz",https://www.walmart.com/ip/Arm-Hammer-Sensitive-Teeth-Gums-Toothpaste-4-5-oz/20850557
68,34458819,"Sensodyne Pronamel Multi-Action Toothpaste Cleansing Mint, 4 Ounce",https://www.walmart.com/ip/Sensodyne-Pronamel-Multi-Action-Toothpaste-Cleansing-Mint-4-Ounce/34458819
69,32176877,"Colgate Sensitive Toothpaste, Whitening - Fresh Mint Gel Formula (6 ounce, Pack of 2)",https://www.walmart.com/ip/Colgate-Sensitive-Toothpaste-Whitening-Fresh-Mint-Gel-Formula-6-ounce-Pack-of-2/32176877
70,10311745,"Colgate 2-in-1 Kids Toothpaste & Anticavity Mouthwash, Watermelon Burst, 4.6 ounces",https://www.walmart.com/ip/Colgate-2-in-1-Kids-Toothpaste-Anticavity-Mouthwash-Watermelon-Burst-4-6-ounces/10311745
71,182527465,"Crest + Scope Outlast Complete Whitening Toothpaste, Mint, 5.4 oz",https://www.walmart.com/ip/Crest-Scope-Outlast-Complete-Whitening-Toothpaste-Mint-5-4-oz/182527465
72,191694930,"Crest Pro-Health Smooth Formula Toothpaste, Clean Mint Paste, 4.6 oz",https://www.walmart.com/ip/Crest-Pro-Health-Smooth-Formula-Toothpaste-Clean-Mint-Paste-4-6-oz/191694930
73,10312275,"Colgate Sensitive Toothpaste, Whitening - Fresh Mint Gel Formula (6 ounce, Pack of 1)",https://www.walmart.com/ip/Colgate-Sensitive-Toothpaste-Whitening-Fresh-Mint-Gel-Formula-6-ounce-Pack-of-1/10312275
74,3392,"Sensodyne Sensitivity Toothpaste, Extra Whitening for Sensitive Teeth, 4 ounce",https://www.walmart.com/ip/Sensodyne-Sensitivity-Toothpaste-Extra-Whitening-for-Sensitive-Teeth-4-ounce/3392
75,10291028,"Arm & Hammer Complete Care Toothpaste, 6 oz.",https://www.walmart.com/ip/Arm-Hammer-Complete-Care-Toothpaste-6-oz/10291028
76,17341348,"Crest 3D White Whitening Toothpaste, Radiant Mint, .85 oz",https://www.walmart.com/ip/Crest-3D-White-Whitening-Toothpaste-Radiant-Mint-85-oz/17341348
77,10316813,"Sensodyne Sensitivity Toothpaste, Whitening for Sensitive Teeth, 24/7 Full Protection, 4 ounce",https://www.walmart.com/ip/Sensodyne-Sensitivity-Toothpaste-Whitening-for-Sensitive-Teeth-24-7-Full-Protection-4-ounce/10316813
78,361895155,"Colgate Total Whitening Toothpaste, 4.8 oz.",https://www.walmart.com/ip/Colgate-Total-Whitening-Toothpaste-4-8-oz/361895155
79,786345153,"Parodontax Bleeding Gums Toothpaste, Clean Mint, 3.4 Ounce (Pack of 3)",https://www.walmart.com/ip/Parodontax-Bleeding-Gums-Toothpaste-Clean-Mint-3-4-Ounce-Pack-of-3/786345153
80,49527315,"Hello Kids Fluoride Free Toothpaste, Vegan & SLS Free, Natural Watermelon, 4.2oz",https://www.walmart.com/ip/Hello-Kids-Fluoride-Free-Toothpaste-Vegan-SLS-Free-Natural-Watermelon-4-2oz/49527315
81,35764259,"Colgate Optic White Whitening Toothpaste, Sparkling White, 3.5 ounce",https://www.walmart.com/ip/Colgate-Optic-White-Whitening-Toothpaste-Sparkling-White-3-5-ounce/35764259
82,34967577,"Crest 3D White Brilliance Advanced Whitening Technology + Advanced Stain Protection Toothpaste, Vibrant Peppermint, 4.1 oz",https://www.walmart.com/ip/Crest-3D-White-Brilliance-Advanced-Whitening-Technology-Advanced-Stain-Protection-Toothpaste-Vibrant-Peppermint-4-1-oz/34967577
83,775787730,"Crest 3D White, Whitening Toothpaste Arctic Fresh, 3.0 oz",https://www.walmart.com/ip/Crest-3D-White-Whitening-Toothpaste-Arctic-Fresh-3-0-oz/775787730
84,37840515,"Crest 3D White Brilliance Vibrant Peppermint Toothpaste, 4.1 oz, Pack of 2",https://www.walmart.com/ip/Crest-3D-White-Brilliance-Vibrant-Peppermint-Toothpaste-4-1-oz-Pack-of-2/37840515
85,12167268,"Sensodyne Pronamel Gentle Whitening Fluoride Toothpaste to Strengthen and Protect Enamel, 4 ounces",https://www.walmart.com/ip/Sensodyne-Pronamel-Gentle-Whitening-Fluoride-Toothpaste-to-Strengthen-and-Protect-Enamel-4-ounces/12167268
86,196878437,"Crest Pro-Health Advanced Deep Clean Mint Toothpaste, 5.1 oz",https://www.walmart.com/ip/Crest-Pro-Health-Advanced-Deep-Clean-Mint-Toothpaste-5-1-oz/196878437
87,49081563,"Colgate Kids Toothpaste Cavity Protection, Bubble Fruit, 4.6 ounces (2 Pack)",https://www.walmart.com/ip/Colgate-Kids-Toothpaste-Cavity-Protection-Bubble-Fruit-4-6-ounces-2-Pack/49081563
88,49714962,"Colgate Cavity Protection Toothpaste with Fluoride, Great Regular Flavor - 2.5 Ounce",https://www.walmart.com/ip/Colgate-Cavity-Protection-Toothpaste-with-Fluoride-Great-Regular-Flavor-2-5-Ounce/49714962
89,205099626,"Crest 3D White, Whitening Toothpaste Radiant Mint, 4.1 oz",https://www.walmart.com/ip/Crest-3D-White-Whitening-Toothpaste-Radiant-Mint-4-1-oz/205099626
90,10311744,Colgate 2-in-1 Whitening Toothpaste Gel and Mouthwash - 4.6 Ounce,https://www.walmart.com/ip/Colgate-2-in-1-Whitening-Toothpaste-Gel-and-Mouthwash-4-6-Ounce/10311744
91,130236716,"Crest Pro-Health Whitening Gel Toothpaste, 4.6 oz",https://www.walmart.com/ip/Crest-Pro-Health-Whitening-Gel-Toothpaste-4-6-oz/130236716
92,35764261,"Colgate Optic White Whitening Toothpaste, Enamel - 3.5 oz",https://www.walmart.com/ip/Colgate-Optic-White-Whitening-Toothpaste-Enamel-3-5-oz/35764261
93,10311746,"Colgate Max Fresh Toothpaste with Mini Breath Strips, Cool Mint - 6 Ounce",https://www.walmart.com/ip/Colgate-Max-Fresh-Toothpaste-with-Mini-Breath-Strips-Cool-Mint-6-Ounce/10311746
94,665193833,"(2 pack) Orajel Nickelodeon Paw Patrol Fruity Fun Training Toothpaste 3 Months to 4 Years, 1.5 oz",https://www.walmart.com/ip/2-pack-Orajel-Nickelodeon-Paw-Patrol-Fruity-Fun-Training-Toothpaste-3-Months-to-4-Years-1-5-oz/665193833
95,178707036,"Crest Kid's Cavity Protection Toothpaste (children and toddlers 2+), Sparkle Fun Flavor, 4.6 ounces, Pack of 2",https://www.walmart.com/ip/Crest-Kid-s-Cavity-Protection-Toothpaste-children-and-toddlers-2-Sparkle-Fun-Flavor-4-6-ounces-Pack-of-2/178707036
96,49714957,Colgate Cavity Protection Fluoride Toothpaste - 6 oz,https://www.walmart.com/ip/Colgate-Cavity-Protection-Fluoride-Toothpaste-6-oz/49714957
97,15610997,"Orajel My Little Pony Fluoride-Free Training Toothpaste, Pinkie Fruity, 1.5 oz.",https://www.walmart.com/ip/Orajel-My-Little-Pony-Fluoride-Free-Training-Toothpaste-Pinkie-Fruity-1-5-oz/15610997
98,16680121,Tom's of Maine Anticavity Fluoride Silly Strawberry Toothpaste 4.2 oz Paste,https://www.walmart.com/ip/Tom-s-of-Maine-Anticavity-Fluoride-Silly-Strawberry-Toothpaste-4-2-oz-Paste/16680121
99,16627500,Tom's of Maine Antiplaque & Whitening Toothpaste Peppermint 5.5 oz,https://www.walmart.com/ip/Tom-s-of-Maine-Antiplaque-Whitening-Toothpaste-Peppermint-5-5-oz/16627500
100,35706534,"Colgate Sensitive Toothpaste, Prevent and Repair - Gentle Mint Paste Formula (6 ounce, Pack of 1)",https://www.walmart.com/ip/Colgate-Sensitive-Toothpaste-Prevent-and-Repair-Gentle-Mint-Paste-Formula-6-ounce-Pack-of-1/35706534
101,10311749,"Colgate Max Fresh Toothpaste with Mini Breath Strips, Clean Mint - 6 ounce",https://www.walmart.com/ip/Colgate-Max-Fresh-Toothpaste-with-Mini-Breath-Strips-Clean-Mint-6-ounce/10311749
102,38360591,"Aquafresh Extra Fresh + Whitening Fluoride Toothpaste Fresh Mint, 5.6 Oz",https://www.walmart.com/ip/Aquafresh-Extra-Fresh-Whitening-Fluoride-Toothpaste-Fresh-Mint-5-6-Oz/38360591
103,413040726,(2 pack) ORAJEL,https://www.walmart.com/ip/2-pack-ORAJEL/413040726
104,10291034,"Arm & Hammer PeroxiCare Deep Clean Toothpaste, 6 oz.",https://www.walmart.com/ip/Arm-Hammer-PeroxiCare-Deep-Clean-Toothpaste-6-oz/10291034
